나나,173,65
하자,159,82
아카,185,64
나다,145,79
타타,171,44
라자,168,46
마자,158,84
라카,165,42
아다,158,91
카마,160,99
나바,148,47
바바,150,82
바차,192,57
차차,171,56
사자,140,97
아하,145,43
하차,140,86
하하,164,87
자카,176,43
카차,197,77
카가,144,76
자가,141,50
자바,193,89
차아,197,73
다아,154,50
다나,171,59
하차,168,61
파바,142,89
차차,184,45
타바,157,55
다자,147,43
자가,189,90
마카,170,48
타나,146,40
다나,180,74
파파,155,62
아아,182,59
마마,185,55
카차,159,49
마파,162,87
타차,198,59
사타,188,82
사하,149,46
파사,181,57
바차,183,93
가다,167,81
사사,173,53
마차,164,45
자나,189,61
가카,198,53
라바,159,64
자카,198,50
다사,156,96
카자,175,55
나파,171,99
라파,155,45
아다,199,52
타파,144,55
하아,175,87
다하,145,56
카파,183,40
나사,163,80
타바,190,87
타마,183,73
다다,159,69
파카,158,62
사가,170,58
차차,140,68
다마,193,90
하나,179,62
아사,140,65
카아,172,84
타하,172,87
자가,189,81
마가,192,48
차아,168,88
하가,192,84
아차,166,40
자아,178,43
아마,166,59
카파,159,91
타차,158,53
다차,147,77
마나,187,94
다사,167,42
다카,174,69
하다,161,95
나가,141,65
파사,179,69
사자,173,42
가라,189,94
하다,141,75
마차,188,44
사하,195,73
다마,154,48
하카,196,57
라가,177,74
가자,141,97
카사,143,70
아바,198,41
사파,164,72
아아,182,83
사사,193,89
마마,191,45
하카,160,43
다아,163,86
다다,153,86
아가,159,73
차하,178,83
차자,145,94
다카,140,62
자나,198,95
가타,184,72
아타,156,79
바가,158,81
라차,152,45
하자,185,94
가파,171,81
사하,180,64
라타,199,44
차사,166,66
가타,172,80
바자,193,78
카파,152,56
하파,149,85
다하,176,64
파다,187,62
카차,182,63
하라,188,53
아가,146,74
다가,193,40
마파,191,78
타자,144,56
카하,199,70
카가,144,42
마가,177,43
나나,150,72
차가,175,67
다카,158,66
아차,146,89
사하,156,72
아마,159,49
사가,193,97
타다,184,95
다차,178,70
라파,151,65
파타,150,56
차차,199,75
타아,196,54
라자,147,63
가라,150,94
나다,184,65
가하,191,67
차다,162,86
카라,192,46
다사,154,78
다차,143,68
사아,161,95
마파,154,95
마파,179,62
나사,161,86
사하,178,84
바가,183,47
바하,142,75
바바,148,48
타하,166,63
마다,188,44
아사,190,59
아카,145,94
다마,155,73
마파,188,80
바아,193,42
바차,192,99
나가,199,48
카타,185,87
카가,185,73
파아,178,76
파나,176,96
자카,156,72
가나,153,41
라카,187,85
가타,152,41
카라,198,50
바사,147,64
아차,151,99
하가,161,40
바라,157,95
타바,158,46
자가,169,58
가자,151,54
차사,144,82
가나,144,64
파다,193,48
하자,166,68
바나,149,81
사다,156,63
아다,169,65
다바,187,42
사파,168,91
하파,186,93
차라,193,46
바파,178,49
타아,145,80
다하,160,89
아타,151,40
나자,197,65
라라,163,83
가카,191,87
타나,178,47
다라,145,48
사마,157,88
파아,168,46
마자,189,93
라아,181,93
타카,151,46
아자,180,94
파다,157,73
타아,154,54
마카,195,52
가자,188,97
가사,175,63
파다,149,70
가타,155,66
차파,149,75
라다,149,52
나카,197,73
차아,174,47
아가,170,45
하가,180,51
아파,141,74
파카,195,62
아파,184,48
차가,165,87
파가,144,96
자하,141,50
아나,188,75
아사,160,54
타아,155,88
하아,190,74
파다,159,89
차아,144,96
자가,186,44
다하,142,62
라차,164,58
파파,158,81
파다,150,49
카자,182,66
라파,143,58
타나,189,98
가차,142,43
파자,199,80
나하,184,88
사가,150,46
카사,157,71
라자,188,55
아사,182,69
바하,173,50
가바,168,88
아하,169,74
바바,187,60
다타,187,47
다라,198,62
타가,169,62
아사,183,95
바사,172,42
파카,169,89
아마,189,76
나마,150,68
타파,199,84
나나,156,42
차가,169,86
라하,186,57
라하,145,57
나라,157,75
파바,176,82
카아,184,81
라자,143,45
나라,177,52
아가,142,61
하가,148,70
나타,195,88
아라,142,66
나파,169,55
라카,199,58
마바,157,83
파사,196,83
타아,181,72
나가,159,75
라자,141,66
마타,199,82
파사,151,97
다자,183,57
라다,144,92
카바,159,78
자마,189,42
바차,185,98
자차,152,41
라라,156,79
카차,181,47
마라,160,90
마다,198,52
라파,183,56
아타,172,45
나가,140,41
가마,196,63
바바,149,45
파차,147,89
파마,180,56
가가,161,43
하하,179,94
다차,168,60
자하,182,80
파카,195,76
가다,180,50
차사,182,65
가하,158,79
라나,150,98
아파,156,93
다아,160,93
가나,196,40
아바,185,59
라카,141,70
바가,172,92
차마,178,96
자마,142,73
바바,146,65
라마,149,68
아나,140,89
나타,141,78
하마,173,47
마바,162,53
마하,197,44
마파,149,78
하라,141,60
바사,190,66
나다,199,43
라아,155,56
아차,176,82
아가,162,62
마하,195,44
차자,179,81
카타,148,97
다다,187,73
카라,184,45
라가,166,62
마파,180,76
하가,147,56
카마,172,56
라나,146,43
가나,157,74
타하,163,47
타마,179,79
나나,197,52
타자,195,93
파사,165,93
하카,180,58
나다,180,61
다차,166,56
차카,149,45
차마,147,69
아자,179,92
타라,155,81
아하,174,78
아카,187,62
하라,144,45
바차,143,84
다다,163,67
타카,149,42
하아,179,63
가아,171,88
하타,174,75
나가,149,41
다나,175,47
하아,156,73
사바,198,78
타가,163,90
가카,152,76
하다,149,63
가사,168,43
라카,168,61
타라,164,85
타다,157,45
바자,142,83
나카,152,59
차나,169,99
바가,189,66
차파,181,99
파카,192,69
차차,168,65
사가,176,69
카카,175,40
아마,150,42
사차,193,70
차나,160,50
사하,172,47
나마,159,43
차타,186,73
라차,164,43
가나,175,58
하사,191,60
가다,169,86
하나,149,53
차차,162,54
라차,147,89
차다,162,99
다사,198,98
파아,155,51
가타,183,71
사타,163,89
라자,186,57
다아,163,53
타카,175,47
카사,163,60
가나,181,86
하라,173,77
라타,161,98
라아,163,82
나타,159,75
차바,150,57
하라,192,89
나하,189,69
하라,151,65
자아,175,49
나다,185,60
차사,144,73
차하,151,81
바타,154,97
자자,157,41
카타,164,41
라카,161,98
나사,184,77
나타,199,70
카라,163,90
자자,149,73
파바,183,46
아카,143,53
자카,177,52
사카,177,51
파라,168,71
라바,140,74
다타,151,44
아파,191,87
바하,167,87
아다,160,73
바하,169,40
타사,182,76
라다,169,41
바자,172,72
사자,146,65
사카,152,72
라자,199,51
가타,193,54
바카,185,57
나사,144,79
자바,171,59
바파,141,91
나카,148,82
나다,198,56
하라,156,79
나마,195,73
하타,165,90
바라,198,99
카사,158,66
마아,147,76
타다,160,42
나파,198,49
타타,152,46
라파,173,67
카타,191,80
가파,185,67
바하,189,56
하바,188,53
아아,195,91
가타,158,40
다사,163,90
나마,151,88
자자,177,44
파나,153,82
다파,142,43
타하,191,68
차아,186,55
카가,195,77
라라,156,63
다아,150,88
타바,159,49
타타,166,89
차가,147,75
자나,165,67
차파,189,98
파다,158,67
아차,192,85
아다,163,92
자아,187,50
바다,152,71
가라,153,85
다마,166,45
아카,193,41
파차,190,70
마하,172,54
가하,175,87
차라,145,40
아라,162,96
차마,197,86
나다,181,80
다카,197,55
하차,162,99
라사,178,94
아하,199,99
아마,158,51
마차,173,46
가카,185,95
자다,160,58
차타,191,74
하가,168,79
가사,159,46
카파,197,63
하라,151,62
타자,158,86
라마,144,72
타다,169,78
타타,157,63
타타,174,80
바라,170,61
하가,157,53
카바,155,64
나카,186,62
아사,188,96
다타,162,40
차타,178,70
차가,144,86
차라,193,40
라바,147,59
카파,154,73
마바,187,51
사마,166,88
카라,181,63
타차,176,88
카파,190,46
라바,199,72
카바,173,95
파사,141,83
라다,187,64
아다,147,59
가사,193,92
바바,186,43
마차,171,48
하사,175,46
사나,151,91
나타,191,80
카나,192,73
다가,145,66
바차,156,66
카바,143,55
마바,143,99
타마,172,69
가다,198,52
마타,151,69
아다,177,78
마라,197,98
타하,159,47
아타,157,75
라나,183,96
타하,191,94
마다,145,47
마파,180,80
나라,140,46
하다,165,68
나차,158,85
파차,196,47
라마,144,57
마라,145,67
아타,195,50
나나,178,74
바라,167,46
카아,187,76
아사,175,47
바사,154,56
바자,171,83
카차,196,89
가자,155,65
자아,141,95
차파,150,54
카차,149,78
카다,147,81
라바,161,92
마마,164,67
나아,182,40
가아,177,51
라파,147,92
사하,143,87
타마,173,79
카카,157,82
다타,151,59
하아,184,54
나자,182,73
마카,147,91
마차,161,95
바아,177,42
파자,140,54
다마,190,49
바하,189,61
나파,150,98
바아,158,69
타가,143,49
자타,198,96
하사,160,68
가아,159,91
파하,162,72
아사,174,89
파사,167,51
라파,183,72
하사,185,43
자타,169,47
사아,148,97
차가,194,93
나가,198,71
라차,162,55
사바,172,49
카바,190,69
가자,151,61
타하,185,82
가다,150,58
차마,190,47
아가,154,86
아가,156,81
마마,163,77
가카,143,51
마나,186,76
바가,164,73
나차,158,84
하나,144,88
차다,153,89
자사,150,90
다카,183,62
자바,186,79
타바,159,67
아마,147,54
다파,164,48
타라,179,54
아타,166,83
마아,147,47
가다,174,91
하마,165,77
카차,182,86
라아,166,92
카라,155,45
파하,185,72
나라,152,76
라가,191,60
차다,159,73
나바,148,58
가다,151,64
가하,175,44
파자,142,65
파나,148,72
나파,162,71
타차,156,47
카아,177,75
파나,158,86
파마,186,86
마타,170,66
사타,174,78
아하,157,42
사하,196,91
하바,156,59
파하,141,50
차타,183,90
가파,191,55
파가,147,56
나나,182,73
라마,186,48
차다,152,84
바자,195,49
하카,189,93
다가,185,99
마바,145,66
카파,142,65
하타,181,56
바자,170,95
자카,164,43
차하,185,75
마사,143,43
나사,199,52
아타,150,82
